                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69417,                0.63432,                 1.2085,                0.89177,                0.72811,                 0.8205,                0.65712,                0.93615,                0.75882,                 1.1977,              0.0006733,              0.0006733,              0.0006733
                     36,                0.67975,                0.58542,                 1.1973,                0.81233,                0.76781,                0.81263,                 0.6216,                0.95819,                  0.777,                 1.2102,              0.0006634,              0.0006634,              0.0006634
                     37,                0.68215,                0.59558,                 1.1691,                0.89968,                0.74101,                0.86019,                0.67836,                0.93322,                0.69758,                 1.1882,              0.0006535,              0.0006535,              0.0006535
                     38,                0.66389,                0.56804,                 1.1509,                0.88724,                0.74685,                0.86533,                0.67714,                0.90996,                0.70118,                 1.1889,              0.0006436,              0.0006436,              0.0006436
                     39,                0.67755,                0.55332,                 1.1752,                0.92986,                0.85929,                0.91444,                0.69861,                0.94901,                0.63696,                 1.2244,              0.0006337,              0.0006337,              0.0006337
                     40,                 0.6531,                0.54344,                 1.1554,                0.95845,                0.85642,                0.91435,                0.70569,                0.93513,                0.64217,                 1.1967,              0.0006238,              0.0006238,              0.0006238
                     41,                0.63315,                0.70561,                  1.119,                0.92065,                0.81144,                0.92174,                0.71395,                0.96133,                0.65632,                 1.2094,              0.0006139,              0.0006139,              0.0006139
                     42,                0.63439,                0.52344,                 1.1375,                0.93705,                0.81946,                0.91535,                0.70775,                0.92495,                0.68703,                 1.1875,               0.000604,               0.000604,               0.000604
                     43,                0.64244,                 0.5215,                 1.1344,                 0.8263,                0.87406,                0.88318,                0.70444,                0.93601,                0.65717,                  1.187,              0.0005941,              0.0005941,              0.0005941
                     44,                0.63934,                 0.5176,                 1.1353,                0.82704,                0.78231,                 0.8487,                0.64372,                0.95783,                0.68944,                 1.2026,              0.0005842,              0.0005842,              0.0005842
                     45,                0.62863,                0.53083,                 1.1386,                0.86022,                 0.7505,                0.83119,                0.64173,                0.95925,                0.72014,                 1.2284,              0.0005743,              0.0005743,              0.0005743
                     46,                0.61805,                0.50092,                 1.1291,                0.81411,                0.80464,                0.85312,                0.64031,                0.98661,                0.73881,                 1.2412,              0.0005644,              0.0005644,              0.0005644
                     47,                0.64398,                0.53855,                 1.1487,                0.86927,                0.77669,                0.84267,                0.61155,                0.98808,                0.73457,                 1.2651,              0.0005545,              0.0005545,              0.0005545
                     48,                0.59921,                 0.4872,                 1.1214,                 0.8501,                0.78138,                0.85471,                0.64487,                 0.9326,                0.68712,                 1.2118,              0.0005446,              0.0005446,              0.0005446
                     49,                 0.6537,                 0.5004,                 1.1529,                0.87725,                0.77699,                0.86064,                0.65591,                0.88929,                0.64824,                 1.1673,              0.0005347,              0.0005347,              0.0005347
                     50,                0.58346,                0.48286,                  1.114,                0.90773,                0.73192,                0.85774,                0.65944,                0.87045,                0.65094,                 1.1688,              0.0005248,              0.0005248,              0.0005248
                     51,                0.60143,                0.50857,                 1.1247,                0.92845,                0.75695,                0.88043,                0.69101,                0.84074,                0.59849,                 1.1115,              0.0005149,              0.0005149,              0.0005149
                     52,                 0.6041,                0.51022,                 1.1317,                0.88904,                0.77219,                0.88517,                0.70184,                 0.8829,                0.66625,                 1.1195,               0.000505,               0.000505,               0.000505
                     53,                0.57974,                 0.4959,                  1.107,                 0.8776,                0.88662,                0.90417,                0.72652,                0.86403,                0.63246,                 1.1277,              0.0004951,              0.0004951,              0.0004951
                     54,                0.59384,                0.47593,                 1.1267,                0.82811,                0.78842,                0.87601,                0.72129,                0.85479,                0.65405,                 1.1166,              0.0004852,              0.0004852,              0.0004852
                     55,                0.59685,                0.48775,                 1.1192,                0.87084,                0.79328,                0.85689,                0.70377,                0.90413,                0.68034,                 1.1728,              0.0004753,              0.0004753,              0.0004753
                     56,                0.57935,                0.46364,                 1.0993,                0.81455,                0.79954,                0.87961,                0.71953,                0.89779,                0.65201,                  1.196,              0.0004654,              0.0004654,              0.0004654
